OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
29,116,WAKEFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,116,WAKEFIELD,Fairfax County,Hillary Clinton,0.390706,30,581,539,581,Hillary Clinton,Hillary Clinton,383,0.659208,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,156,0.268503
30,518,COLUMBIA,Fairfax,2016-03-16T11:51:43.000Z,stulad,518,COLUMBIA,Fairfax County,Hillary Clinton,0.19596,10,495,473,495,Hillary Clinton,Hillary Clinton,284,0.573737,Martin J. O'Malley,Martin J. O'Malley,2,0.00404,Bernie Sanders,Bernie Sanders,187,0.377778
31,528,RIDGELEA,Fairfax,2016-03-16T11:51:43.000Z,stulad,528,RIDGELEA,Fairfax County,Hillary Clinton,0.407273,30,275,250,275,Hillary Clinton,Hillary Clinton,181,0.658182,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,69,0.250909
32,503,BELVEDERE,Fairfax,2016-03-16T11:51:43.000Z,stulad,503,BELVEDERE,Fairfax County,Hillary Clinton,0.362348,30,494,457,494,Hillary Clinton,Hillary Clinton,317,0.6417,Martin J. O'Malley,Martin J. O'Malley,1,0.002024,Bernie Sanders,Bernie Sanders,138,0.279352
33,923,BULL RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,923,BULL RUN,Fairfax County,Hillary Clinton,0.352941,30,306,286,306,Hillary Clinton,Hillary Clinton,196,0.640523,Martin J. O'Malley,Martin J. O'Malley,2,0.006536,Bernie Sanders,Bernie Sanders,88,0.287582
34,928,POPLAR TREE,Fairfax,2016-03-16T11:51:43.000Z,stulad,928,POPLAR TREE,Fairfax County,Hillary Clinton,0.322515,30,493,446,493,Hillary Clinton,Hillary Clinton,301,0.610548,Martin J. O'Malley,Martin J. O'Malley,3,0.006085,Bernie Sanders,Bernie Sanders,142,0.288032
35,515,WESTLAWN,Fairfax,2016-03-16T11:51:43.000Z,stulad,515,WESTLAWN,Fairfax County,Hillary Clinton,0.229917,10,361,350,361,Hillary Clinton,Hillary Clinton,216,0.598338,Martin J. O'Malley,Martin J. O'Malley,1,0.00277,Bernie Sanders,Bernie Sanders,133,0.368421
36,705,GRAHAM-GREENWAY,Fairfax,2016-03-16T11:51:43.000Z,stulad,705,GRAHAM-GREENWAY,Fairfax County,Hillary Clinton,0.188389,10,844,812,844,Hillary Clinton,Hillary Clinton,480,0.56872,Martin J. O'Malley,Martin J. O'Malley,10,0.011848,Bernie Sanders,Bernie Sanders,321,0.380332
37,903,CUB RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,903,CUB RUN,Fairfax County,Hillary Clinton,0.081267,2,726,697,726,Hillary Clinton,Hillary Clinton,376,0.517906,Martin J. O'Malley,Martin J. O'Malley,4,0.00551,Bernie Sanders,Bernie Sanders,317,0.436639
38,846,GREENBRIAR EAST,Fairfax,2016-03-16T11:51:43.000Z,stulad,846,GREENBRIAR EAST,Fairfax County,Hillary Clinton,0.101426,10,631,595,631,Hillary Clinton,Hillary Clinton,328,0.51981,Martin J. O'Malley,Martin J. O'Malley,3,0.004754,Bernie Sanders,Bernie Sanders,264,0.418384
39,913,ROCKY RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,913,ROCKY RUN,Fairfax County,Hillary Clinton,0.262803,10,742,689,742,Hillary Clinton,Hillary Clinton,441,0.59434,Martin J. O'Malley,Martin J. O'Malley,2,0.002695,Bernie Sanders,Bernie Sanders,246,0.331536
40,847,GREENBRIAR WEST,Fairfax,2016-03-16T11:51:43.000Z,stulad,847,GREENBRIAR WEST,Fairfax County,Hillary Clinton,0.165631,10,483,456,483,Hillary Clinton,Hillary Clinton,266,0.550725,Martin J. O'Malley,Martin J. O'Malley,4,0.008282,Bernie Sanders,Bernie Sanders,186,0.385093
41,915,VIRGINIA RUN,Fairfax,2016-03-16T11:51:43.000Z,stulad,915,VIRGINIA RUN,Fairfax County,Hillary Clinton,0.241546,10,414,378,414,Hillary Clinton,Hillary Clinton,238,0.574879,Martin J. O'Malley,Martin J. O'Malley,2,0.004831,Bernie Sanders,Bernie Sanders,138,0.333333
42,720,THOREAU,Fairfax,2016-03-16T11:51:43.000Z,stulad,720,THOREAU,Fairfax County,Hillary Clinton,0.248295,10,733,691,733,Hillary Clinton,Hillary Clinton,436,0.594816,Martin J. O'Malley,Martin J. O'Malley,1,0.001364,Bernie Sanders,Bernie Sanders,254,0.346521
43,904,STONECROFT,Fairfax,2016-03-16T11:51:43.000Z,stulad,904,STONECROFT,Fairfax County,Hillary Clinton,0.043668,2,229,221,229,Hillary Clinton,Hillary Clinton,114,0.497817,Martin J. O'Malley,Martin J. O'Malley,3,0.0131,Bernie Sanders,Bernie Sanders,104,0.454148
