Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
COLE PARK,Y,8300035,,,,,,1031   KENILWORTH,GLENVIEW,-87.7850762794,42.0866902202,"(42.0866902202, -87.7850762794)"
COVENANT VILLAGE,Y,8300034,,,,,,2625   TECHNY RD,NORTHBROOK,-87.843909578,42.1159378024,"(42.1159378024, -87.843909578)"
DEVON BANK,Y,8300001,,,,,,950  E MILWAUKEE AVE,GLENVIEW,-87.8557458077,42.0723275568,"(42.0723275568, -87.8557458077)"
WESTCOTT SCHOOL,Y,8300014,,,,,,1820 WESTERN AVE,NORTHBROOK,-87.8398188106,42.119324715,"(42.119324715, -87.8398188106)"
GLENVIEW PARK CENTER,Y,8300051,8300052,,,,,2400 CHESTNUT AVE,GLENVIEW,-87.8190392042,42.0878658601,"(42.0878658601, -87.8190392042)"
VILLAGE GREEN CENTER,Y,8300015,8300018,8300046,,,,1810 WALTERS AVE,NORTHBROOK,-87.8263807236,42.1275533702,"(42.1275533702, -87.8263807236)"
WILLOW PARK FIELD HOUSE,Y,8300013,8300043,,,,,2600 GREENWOOD RD,GLENVIEW,-87.8400186554,42.102340126,"(42.102340126, -87.8400186554)"
ESTELLE SIEB COM CTR,Y,8400002,,,,,,7774 W IRVING PARK RD,NORRIDGE,-87.8214268512,41.9527535973,"(41.9527535973, -87.8214268512)"
SOUTH PARK FIELDHOUSE,Y,8400003,8400011,8400014,,,,833   TALCOTT,PARK RIDGE,-87.8348451672,41.9974965574,"(41.9974965574, -87.8348451672)"
VILLAGE OF NORRIDGE,Y,8400004,,,,,,4000  N OLCOTT AVE,NORRIDGE,-87.8150458039,41.952976413,"(41.952976413, -87.8150458039)"
NORWOOD PK HALL,Y,8400006,,,,,,7833  W LAWRENCE AVE,NORRIDGE,-87.8236095499,41.9664143784,"(41.9664143784, -87.8236095499)"
THE SALVATION ARMY,Y,8400007,8400010,,,,,8354  W FOSTER AVE,NORRIDGE,-87.8356676991,41.9742297859,"(41.9742297859, -87.8356676991)"
LEIGH SCHOOL,Y,8400009,8400013,,,,,8151  W LAWRENCE AVE,NORRIDGE,-87.8311590043,41.9662880539,"(41.9662880539, -87.8311590043)"
UNION RIDGE SCHOOL,Y,8400001,8400015,,,,,4600  N OAK PARK AVE,HARWOOD HEIGHTS,-87.7982739835,41.965099822,"(41.965099822, -87.7982739835)"
EISENHOWER PUBLIC LIBRARY,Y,8400005,8400017,,,,,4613 N OKETO,HARWOOD HEIGHTS,-87.8124192944,41.9643331183,"(41.9643331183, -87.8124192944)"
THE MONTCLARE BLDG,Y,8400012,,,,,,7171  W GUNNISON,HARWOOD HEIGHTS,-87.8065395188,41.9677853827,"(41.9677853827, -87.8065395188)"
RIDGEWOOD HIGH SCHOOL,Y,8400008,,,,,,7500  W MONTROSE AVE,NORRIDGE,-87.8149155947,41.9602363272,"(41.9602363272, -87.8149155947)"
NORRIDGE NURSING CENTRE,Y,8400016,,,,,,7001  W CULLOM AVE,NORRIDGE,-87.8031882814,41.9572507447,"(41.9572507447, -87.8031882814)"
HATCH SCHOOL,Y,8500001,8500007,,,,,1000  N RIDGELAND AVE,OAK PARK,-87.7832366436,41.9048231071,"(41.9048231071, -87.7832366436)"
ST GILES GLEESON BLDG,Y,8500002,8500014,,,,,1101   COLUMBIAN,OAK PARK,-87.7917729333,41.9059229583,"(41.9059229583, -87.7917729333)"
HORACE MANN SCHOOL,Y,8500004,8500005,,,,,921  N KENILWORTH AVE,OAK PARK,-87.798507669,41.9020928805,"(41.9020928805, -87.798507669)"
WHITTIER SCHOOL,Y,8500010,,,,,,715 N HARVEY,OAK PARK,-87.7819805891,41.8986378678,"(41.8986378678, -87.7819805891)"
DOLE LEARNING CENTER,Y,8500008,8500011,,,,,255   AUGUSTA BLVD,OAK PARK,-87.7827369392,41.8978487744,"(41.8978487744, -87.7827369392)"
LINCOLN SCHOOL,Y,8500017,,,,,,1111  S GROVE AVE,OAK PARK,-87.7956062425,41.86830132,"(41.86830132, -87.7956062425)"
HOLMES SCHOOL,Y,8500018,,,,,,508  N KENILWORTH AVE,OAK PARK,-87.7971330112,41.8951989412,"(41.8951989412, -87.7971330112)"
CENTURY CLUB,Y,8500020,,,,,,178   FOREST AVE,OAK PARK,-87.7996219838,41.8897312477,"(41.8897312477, -87.7996219838)"
OAK PARK PUBLIC LIBRARY,Y,8500022,8500023,8500037,,,,834   LAKE ST,OAK PARK,-87.7948396984,41.8890068156,"(41.8890068156, -87.7948396984)"
OAK PARK/RIVER FOREST H S,Y,8500024,,,,,,201  N SCOVILLE AVE,OAK PARK,-87.7885575156,41.8903835113,"(41.8903835113, -87.7885575156)"
WASHINGTON IRVING ELEM SCHOOL,Y,8500025,8500033,,,,,1125  S CUYLER AVE,OAK PARK,-87.7832239502,41.8680164854,"(41.8680164854, -87.7832239502)"
BEYE ELEMENTARY SCHOOL,Y,8500026,,,,,,230  N CUYLER AVE,OAK PARK,-87.7825550091,41.8909450382,"(41.8909450382, -87.7825550091)"
HERITAGE HOUSE,Y,8500030,,,,,,201   LAKE ST,OAK PARK,-87.7801183186,41.8878417217,"(41.8878417217, -87.7801183186)"
WEST CENTRAL CHURCH,Y,8500029,,,,,,1154  S WISCONSIN AVE,OAK PARK,-87.801255719,41.8664143843,"(41.8664143843, -87.801255719)"
OAK PARK CONSERVATORY,Y,8500031,,,,,,615   GARFIELD,OAK PARK,-87.7896669423,41.8712719721,"(41.8712719721, -87.7896669423)"
THE OAKS,Y,8500032,,,,,,114  S HUMPHREY AVE,OAK PARK,-87.7759315009,41.8867553752,"(41.8867553752, -87.7759315009)"
PERCY JULIAN JR HIGH SCHOOL,Y,8500021,8500034,,,,,416  S RIDGELAND AVE,OAK PARK,-87.783872159,41.8813023423,"(41.8813023423, -87.783872159)"
OAK PARK TOWNSHIP,Y,8500035,,,,,,105  S OAK PARK AVE,OAK PARK,-87.7939927477,41.8863972581,"(41.8863972581, -87.7939927477)"
MILLS PARK TOWER,Y,8500019,,,,,,1025   PLEASANT PL,OAK PARK,-87.8013147483,41.8842389707,"(41.8842389707, -87.8013147483)"
GWENDOLYN BROOKS MIDDLE SCHOOL,Y,8500028,,,,,,325   KENILWORTH,OAK PARK,-87.797435881,41.88198263,"(41.88198263, -87.797435881)"
OAK PARK ARMS,Y,8500006,8500009,8500012,,,,408  S OAK PARK AVE,OAK PARK,-87.7936951794,41.8811580958,"(41.8811580958, -87.7936951794)"
ADELE MAZE LIBRARY,Y,8500003,8500016,,,,,845 GUNDERSON,OAK PARK,-87.7868281756,41.8726924562,"(41.8726924562, -87.7868281756)"
,Y,8500015,,,,,,218 MADISON ST,OAK PARK,-87.7806656177,41.8803767396,"(41.8803767396, -87.7806656177)"
LONGFELLOW SCHOOL,,8500013,,,,,,715   HIGHLAND AVE,OAK PARK,-87.7822379376,41.8758348736,"(41.8758348736, -87.7822379376)"
OAK PARK SENIOR CENTER,Y,8500027,8500036,,,,,500  S MAPLE AVE,OAK PARK,-87.8032521713,41.8791756067,"(41.8791756067, -87.8032521713)"
ORLAND PARK CIVIC CENTER,Y,8600001,8600038,,,,,14750   RAVINIA AVE,ORLAND PARK,-87.8568386713,41.6224952213,"(41.6224952213, -87.8568386713)"
ORLAND FIRE PRTCT DIST #3,Y,8600002,8600064,,,,,15101  WOLF RD,ORLAND PARK,-87.8912353559,41.6148274573,"(41.6148274573, -87.8912353559)"
VILLAGE OF ORLAND HILLS,Y,8600003,8600022,8600069,,,,16033  S 94TH AVE,ORLAND HILLS,-87.8472169436,41.5983881498,"(41.5983881498, -87.8472169436)"
ROBERT DAVIDSON CENTER,Y,8600004,8600053,8600056,,,,14700   PARK LN,ORLAND PARK,-87.8674187295,41.6224701255,"(41.6224701255, -87.8674187295)"
JOHN A BANNES SCHOOL,Y,8600005,8600011,8600014,,,,16835   ODELL AVE,TINLEY PARK,-87.7967261326,41.5844533824,"(41.5844533824, -87.7967261326)"
HELEN KELLER ELEM SCHOOL,Y,8600006,8600017,8600041,8600050,,,7846  W 163RD ST,TINLEY PARK,-87.8093081642,41.5952541221,"(41.5952541221, -87.8093081642)"
FAITH UNITED METHODIST CHURCH,Y,8600013,8600019,8600030,8600062,8600074,,15101 S 80TH AVE,ORLAND PARK,-87.8149327574,41.6161570485,"(41.6161570485, -87.8149327574)"
RIVIERA COUNTRY CLUB,Y,8600010,8600037,8600055,,,,8801 W 143RD ST,ORLAND PARK,-87.8350445594,41.6303360784,"(41.6303360784, -87.8350445594)"
FERNWAY SCHOOL,Y,8600012,8600046,,,,,16600 88TH AVE,ORLAND PARK,-87.8335316533,41.5883242588,"(41.5883242588, -87.8335316533)"
CENTURY JUNIOR HIGH SCHOOL,Y,8600015,8600068,,,,,10801  W 159TH ST,ORLAND PARK,-87.8844359717,41.6002119516,"(41.6002119516, -87.8844359717)"
TINLEY PARK POLICE DEPT,Y,8600063,8600073,,,,,7850  W 183RD ST,TINLEY PARK,-87.806910786,41.5590286494,"(41.5590286494, -87.806910786)"
SILVER LAKE COUNTRY CLUB,Y,8600007,8600021,8600028,,,,14700 S 82ND AVE,ORLAND PARK,-87.8200125267,41.620601322,"(41.620601322, -87.8200125267)"
ORLAND PARK SPORTSPLEX,Y,8600016,8600018,8600020,8600029,8600039,8600075,11351  W 159TH ST,ORLAND PARK,-87.8950213267,41.6000588972,"(41.6000588972, -87.8950213267)"
FAITH CHRISTIAN REFORM CHURCH,Y,8600023,8600044,8600051,8600058,8600061,8600070,8383  W 171ST ST,TINLEY PARK,-87.8220394611,41.5794817045,"(41.5794817045, -87.8220394611)"
CHRISTIAN REFORM CHURCH,Y,8600024,8600027,8600034,,,,7500   SYCAMORE DR,ORLAND PARK,-87.8015710808,41.6146339215,"(41.6146339215, -87.8015710808)"
ORLAN BROOK CONDO  ASSN,Y,8600025,,,,,,15633   ORLAN BROOK DR,ORLAND PARK,-87.8304656144,41.6076959074,"(41.6076959074, -87.8304656144)"
ORLAND HILL COMM/SENIOR CNTR,Y,8600008,8600009,8600026,8600036,,,16553  S HAVEN AVE,ORLAND HILLS,-87.8440046287,41.5894127071,"(41.5894127071, -87.8440046287)"
ORLAND TOWNSHIP,Y,8600031,,,,,,14807 RAVINIA AVE,ORLAND PARK,-87.8573828559,41.6213806525,"(41.6213806525, -87.8573828559)"
LIBERTY SCHOOL,Y,8600032,8600040,8600048,8600052,,,8801  W 151ST ST,ORLAND PARK,-87.8350590474,41.6158377984,"(41.6158377984, -87.8350590474)"
PRAIRIE SCHOOL,Y,8600033,8600035,8600054,,,,14200  S 82ND AVE,ORLAND PARK,-87.8203441351,41.6333491085,"(41.6333491085, -87.8203441351)"
CHRISTA MC AULIFFE SCHOOL,Y,8600042,8600043,8600045,,,,8944   174TH ST,TINLEY PARK,-87.8364061346,41.5752401011,"(41.5752401011, -87.8364061346)"
ORLAND TWP HWY DEPT,Y,8600057,8600065,,,,,16125  S WOLF RD,ORLAND PARK,-87.890631124,41.594648731,"(41.594648731, -87.890631124)"
LIVING WORD LUTHERAN CHURCH,Y,8600059,8600066,,,,,16301  S WOLF RD,ORLAND PARK,-87.890294257,41.5929678293,"(41.5929678293, -87.890294257)"
PARKVIEW CHRISTIAN CHURCH,Y,8600047,8600060,8600071,,,,11100 ORLAND PARKWAY,ORLAND PARK,-87.8892204249,41.5575877222,"(41.5575877222, -87.8892204249)"
